0.26,9663676416.0,9.0,45.0,196608.0,0,0,0.78,0.52,452984832.0,5.0,1,31.0,327680.0,0.22,0.51,47.0,16.0,2.0,12.0,4.0,
0.47,6979321856.0,11.0,27.0,589824.0,1,1,0.27,0.71,150994944.0,18.0,0,54.0,196608.0,0.23,0.15,70.0,8.0,4.0,12.0,3.0,
0.32,6442450944.0,10.0,48.0,262144.0,1,1,0.16,0.51,452984832.0,16.0,1,25.0,655360.0,0.4,0.18,79.0,15.0,2.0,5.0,4.0,
0.33,5368709120.0,5.0,17.0,65536.0,0,1,0.94,0.94,503316480.0,9.0,1,25.0,262144.0,0.34,0.12,29.0,19.0,1.0,5.0,6.0,
0.49,4831838208.0,6.0,33.0,196608.0,1,1,0.1,0.83,301989888.0,17.0,0,50.0,196608.0,0.33,0.39,76.0,10.0,4.0,6.0,5.0,
0.37,8053063680.0,9.0,18.0,458752.0,0,0,0.37,0.38,536870912.0,18.0,1,36.0,65536.0,0.25,0.39,37.0,13.0,2.0,18.0,4.0,
0.49,8589934592.0,8.0,37.0,196608.0,0,0,0.81,0.33,402653184.0,8.0,0,31.0,655360.0,0.3,0.31,66.0,9.0,2.0,9.0,6.0,
0.41,5905580032.0,10.0,19.0,327680.0,0,0,0.47,0.52,436207616.0,18.0,1,44.0,131072.0,0.18,0.49,42.0,5.0,3.0,9.0,4.0,
0.58,8589934592.0,9.0,27.0,524288.0,0,1,0.7,0.72,369098752.0,20.0,1,65.0,589824.0,0.13,0.42,73.0,20.0,1.0,8.0,6.0,
0.52,8053063680.0,9.0,36.0,131072.0,0,1,0.52,0.51,201326592.0,13.0,0,28.0,393216.0,0.25,0.48,26.0,13.0,2.0,11.0,5.0,
